State,Quarter,Credit Score,Prosper Score,Lenders Yield,Number of Loans
MN,Q2 2012,693.861386139,5.91089108911,0.206221782178,101
MN,Q2 2013,700.0,5.29299363057,0.182977707006,157
MN,Q3 2009,733.636363636,8.22727272727,0.148645454545,22
MN,Q3 2010,700.0,6.76923076923,0.213646153846,26
MN,Q3 2011,698.571428571,6.1,0.212574285714,70
MN,Q3 2012,707.407407407,6.15740740741,0.202017592593,108
MN,Q3 2013,701.578947368,5.45789473684,0.172961578947,190
MN,Q4 2009,711.612903226,8.38709677419,0.144229032258,31
MN,Q4 2010,707.096774194,6.41935483871,0.240683870968,31
MN,Q4 2011,690.746268657,5.61194029851,0.225668656716,67
MN,Q4 2012,701.386138614,6.42574257426,0.205179207921,101
MN,Q4 2013,684.124513619,5.83657587549,0.169687937743,257
MO,Q1 2010,723.03030303,7.57575757576,0.157848484848,33
MO,Q1 2011,720.0,7.04255319149,0.204591489362,47
MO,Q1 2012,696.666666667,5.74444444444,0.2102,90
MO,Q1 2013,705.384615385,5.11538461538,0.193503846154,78
MO,Q1 2014,691.483253589,6.16267942584,0.142384210526,209
MO,Q2 2010,699.0,7.3,0.2083325,40
MO,Q2 2011,701.016949153,6.16949152542,0.206757627119,59
MO,Q2 2012,694.260869565,6.02608695652,0.213773043478,115
MO,Q2 2013,703.23943662,5.43661971831,0.179169014085,142
MO,Q3 2009,687.058823529,7.23529411765,0.213158823529,17
MO,Q3 2010,682.631578947,6.65789473684,0.236455263158,38
MO,Q3 2011,685.205479452,5.54794520548,0.232936986301,73
MO,Q3 2012,697.876106195,6.19469026549,0.206969911504,113
MO,Q3 2013,700.564971751,5.09039548023,0.183253107345,177
MO,Q4 2009,686.818181818,7.59090909091,0.203013636364,44
MO,Q4 2010,696.734693878,6.5306122449,0.234932653061,49
MO,Q4 2011,692.083333333,5.4375,0.232822916667,96
MO,Q4 2012,699.139784946,5.89247311828,0.218604301075,93
MO,Q4 2013,684.146341463,5.49593495935,0.171336178862,246
MS,Q1 2010,714.0,8.0,0.16875,10
MS,Q1 2011,718.181818182,6.45454545455,0.220390909091,11
MS,Q1 2012,692.307692308,6.11538461538,0.2069,26
MS,Q1 2013,691.034482759,5.31034482759,0.195575862069,29
MS,Q1 2014,691.395348837,5.87209302326,0.147022093023,86
MS,Q2 2010,707.5,7.25,0.2099375,8
MS,Q2 2011,691.851851852,5.07407407407,0.250422222222,27
MS,Q2 2012,679.545454545,4.77272727273,0.243179545455,44
MS,Q2 2013,700.0,4.81538461538,0.197589230769,65
MS,Q3 2009,640.0,6.4,0.2359,5
MS,Q3 2010,700.0,6.71428571429,0.237571428571,7
MS,Q3 2011,701.290322581,5.03225806452,0.260164516129,31
MS,Q3 2012,714.418604651,6.37209302326,0.211418604651,43
MS,Q3 2013,705.789473684,4.65789473684,0.190525,76
